meanAcu,stdAcu,meanPrec0,stdPrec0,meanPrec1,stdPrec1,meanRec0,stdRec0,meanRec1,stdRec1,meanF0,stdF0,meanF1,stdF1,meanSup0,stdSup0,meanSup1,stdSup1,classifier,winLen,overLap
0.7669,0.1743,0.7669,0.1743,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8569,0.1128,0.0000,0.0000,16.0000,0.0000,6.0000,5.0000,classifier,200,10
0.7669,0.1743,0.7669,0.1743,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8569,0.1128,0.0000,0.0000,16.0000,0.0000,6.0000,5.0000,classifier,300,10
0.7669,0.1743,0.7669,0.1743,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8569,0.1128,0.0000,0.0000,16.0000,0.0000,6.0000,5.0000,classifier,400,10
0.7669,0.1743,0.7669,0.1743,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8569,0.1128,0.0000,0.0000,16.0000,0.0000,6.0000,5.0000,classifier,500,10
