meanAcu,stdAcu,meanPrec0,stdPrec0,meanPrec1,stdPrec1,meanRec0,stdRec0,meanRec1,stdRec1,meanF0,stdF0,meanF1,stdF1,meanSup0,stdSup0,meanSup1,stdSup1,classifier,winLen,overLap
0.7085,0.1466,0.8059,0.1724,0.6361,0.3470,0.7725,0.1923,0.4683,0.3849,0.7689,0.1350,0.4656,0.3594,20.6000,11.9432,9.0000,6.3875,classifier,1000,10
0.7627,0.1965,0.8873,0.1474,0.4889,0.4478,0.8322,0.2067,0.5333,0.4522,0.8359,0.1370,0.5067,0.4474,18.6000,11.0018,8.2000,6.5238,classifier,1500,10
0.7312,0.2253,0.8944,0.1386,0.6889,0.4061,0.7967,0.2557,0.5305,0.4184,0.8056,0.1648,0.5121,0.4039,17.2000,9.9076,7.0000,6.3561,classifier,2000,10
0.7746,0.1881,0.8889,0.1405,0.6800,0.4118,0.8511,0.1880,0.5133,0.4329,0.8502,0.1255,0.5139,0.4226,15.2000,9.4953,5.6000,5.0040,classifier,2500,10
0.8070,0.1596,0.8851,0.1426,0.6667,0.4216,0.8929,0.1317,0.4821,0.4371,0.8780,0.1032,0.4952,0.4255,13.2000,8.9978,4.4000,4.4542,classifier,3000,10
0.7884,0.1373,0.8273,0.2159,0.5333,0.4522,0.9048,0.1313,0.5333,0.4522,0.8335,0.1165,0.5200,0.4308,11.2000,8.2559,3.6000,4.3174,classifier,3500,10
