meanAcu,stdAcu,meanPrec0,stdPrec0,meanPrec1,stdPrec1,meanRec0,stdRec0,meanRec1,stdRec1,meanF0,stdF0,meanF1,stdF1,meanSup0,stdSup0,meanSup1,stdSup1,classifier,winLen,overLap
0.7137,0.1619,0.7991,0.2207,0.4695,0.4179,0.8576,0.1437,0.2016,0.2619,0.7948,0.1420,0.2180,0.2188,65.8000,29.0338,25.4000,23.2603,classifier,1000,10
0.7598,0.1335,0.8178,0.2039,0.4574,0.4012,0.8786,0.1288,0.2515,0.2871,0.8207,0.1295,0.2765,0.2475,64.6000,29.2889,25.2000,22.9556,classifier,1500,10
0.6758,0.1596,0.7552,0.2228,0.4705,0.3560,0.8377,0.1594,0.2786,0.2952,0.7557,0.1437,0.2736,0.2125,72.2500,25.0637,30.0000,20.7244,classifier,2000,10
0.6924,0.2053,0.7713,0.2482,0.4670,0.3621,0.8622,0.1598,0.2767,0.3714,0.7686,0.1638,0.2395,0.2627,70.2500,25.0637,29.0000,20.4083,classifier,2500,10
0.7049,0.1939,0.7756,0.2422,0.4821,0.3569,0.8647,0.1484,0.3063,0.3415,0.7763,0.1601,0.2846,0.2432,68.7500,24.6310,27.7500,20.0546,classifier,3000,10
0.7087,0.1884,0.7816,0.2456,0.5023,0.3536,0.8591,0.1684,0.3258,0.3471,0.7727,0.1645,0.3075,0.2353,67.2500,25.0637,27.0000,19.7104,classifier,3500,10
