meanAcu,stdAcu,meanPrec0,stdPrec0,meanPrec1,stdPrec1,meanRec0,stdRec0,meanRec1,stdRec1,meanF0,stdF0,meanF1,stdF1,meanSup0,stdSup0,meanSup1,stdSup1,classifier,winLen,overLap
0.6648,0.0575,0.667,0.0522,0.668,0.075,0.7956,0.1019,0.4722,0.0593,0.7249,0.0717,0.5464,0.0224,453.8,70.1524,335.4,37.94,classifier,1000,10
0.6685,0.0585,0.6749,0.054,0.6624,0.0684,0.7823,0.112,0.4925,0.0714,0.7233,0.0771,0.5568,0.0253,422.2,70.7994,308.2,40.8823,classifier,1500,10
0.6529,0.0656,0.6643,0.0641,0.6325,0.0624,0.7766,0.1133,0.4625,0.0734,0.7143,0.0817,0.5273,0.0301,391.2,68.3825,279.6,40.8441,classifier,2000,10
0.6554,0.0608,0.6743,0.0665,0.612,0.0362,0.7605,0.1031,0.4883,0.0645,0.7134,0.0791,0.5389,0.0301,359.2,66.403,251.8,44.0245,classifier,2500,10
0.6538,0.0706,0.6785,0.0757,0.6001,0.0465,0.7519,0.1076,0.494,0.0699,0.7114,0.0858,0.5379,0.0396,330,65.9485,225.4,44.3107,classifier,3000,10
0.6446,0.0682,0.6737,0.0812,0.5787,0.0357,0.7342,0.1177,0.494,0.0737,0.7004,0.0929,0.5282,0.0389,301,63.715,204.2,45.1327,classifier,3500,10
0.6401,0.078,0.6756,0.0884,0.5603,0.0355,0.7189,0.1166,0.4974,0.0593,0.6952,0.0991,0.5243,0.0337,274.4,61.7109,180.6,44.5179,classifier,4000,10
0.661,0.0783,0.6943,0.0869,0.5839,0.0456,0.7422,0.116,0.5073,0.0865,0.7156,0.0963,0.5389,0.0541,246.4,57.94,157.8,41.2766,classifier,4500,10
0.6541,0.0934,0.6972,0.1081,0.556,0.0456,0.7358,0.1176,0.5034,0.0821,0.7136,0.1076,0.5246,0.0535,224.8,52.9203,136.8,44.3143,classifier,5000,10
0.6691,0.0444,0.681,0.0487,0.6421,0.029,0.773,0.076,0.5144,0.0566,0.7237,0.0594,0.5686,0.0306,221.2,36.2293,162.6,18.7147,classifier,1000,20
