meanAcu,stdAcu,meanPrec0,stdPrec0,meanPrec1,stdPrec1,meanRec0,stdRec0,meanRec1,stdRec1,meanF0,stdF0,meanF1,stdF1,meanSup0,stdSup0,meanSup1,stdSup1,classifier,winLen,overLap
0.7072,0.1354,0.7681,0.2158,0.4000,0.4899,0.9185,0.1195,0.0753,0.0925,0.8042,0.1165,0.1267,0.1555,26.2000,11.8727,8.4000,6.9742,classifier,1000,10
0.7763,0.1321,0.8003,0.2122,0.6000,0.4899,0.9474,0.0645,0.1714,0.1400,0.8442,0.1189,0.2667,0.2177,24.6000,11.8085,7.0000,6.2610,classifier,1500,10
0.7469,0.1363,0.7978,0.2225,0.4000,0.4899,0.9208,0.0982,0.2000,0.2491,0.8252,0.1148,0.2655,0.3276,23.0000,11.5412,6.6000,5.8515,classifier,2000,10
0.7315,0.1184,0.7831,0.2263,0.4000,0.4899,0.9139,0.1066,0.1256,0.1799,0.8107,0.1156,0.1835,0.2499,21.0000,11.5412,5.8000,5.2307,classifier,2500,10
0.7263,0.1678,0.7625,0.2382,0.5000,0.5000,0.9271,0.1263,0.3636,0.4116,0.8014,0.1292,0.4062,0.4273,20.0000,12.7867,6.0000,4.3012,classifier,3000,10
0.6918,0.2224,0.7778,0.2811,0.4000,0.4899,0.9037,0.1412,0.2222,0.3913,0.7859,0.1765,0.2400,0.3878,18.0000,11.2960,4.0000,3.8471,classifier,3500,10
