meanAcu,stdAcu,meanPrec0,stdPrec0,meanPrec1,stdPrec1,meanRec0,stdRec0,meanRec1,stdRec1,meanF0,stdF0,meanF1,stdF1,meanSup0,stdSup0,meanSup1,stdSup1,classifier,winLen,overLap
0.8025,0.0676,0.8287,0.0742,0.7541,0.0475,0.8413,0.1036,0.6982,0.1672,0.8325,0.0789,0.7148,0.1130,224.8000,52.9203,136.8000,44.3143,classifier,5000,10
0.7953,0.0469,0.8385,0.0603,0.7220,0.0425,0.8188,0.1049,0.6993,0.1645,0.8250,0.0673,0.6988,0.0918,202.8000,50.1574,119.6000,46.2800,classifier,5500,10
0.7988,0.0825,0.8324,0.1110,0.7340,0.0752,0.8400,0.0948,0.6856,0.1860,0.8327,0.0889,0.6969,0.1215,185.4000,45.8109,104.0000,46.7162,classifier,6000,10
0.7874,0.0972,0.8281,0.1106,0.7068,0.1142,0.8201,0.1084,0.7006,0.1570,0.8208,0.0995,0.6967,0.1224,167.6000,40.7755,93.2000,46.5291,classifier,6500,10
0.7847,0.0813,0.8128,0.1129,0.6877,0.0843,0.8548,0.0546,0.6310,0.1521,0.8314,0.0833,0.6540,0.1149,153.8000,36.8532,83.0000,46.5403,classifier,7000,10
0.8333,0.0863,0.8703,0.1047,0.7236,0.1142,0.8614,0.0658,0.7546,0.1671,0.8651,0.0837,0.7368,0.1364,143.2000,33.4269,74.6000,47.4830,classifier,7500,10
0.7748,0.0765,0.8333,0.1230,0.6434,0.0901,0.8190,0.0688,0.6858,0.1060,0.8212,0.0837,0.6549,0.0585,133.8000,30.4854,69.8000,47.9057,classifier,8000,10
0.7557,0.0714,0.8351,0.0956,0.5860,0.1352,0.7954,0.1044,0.6491,0.1619,0.8077,0.0745,0.6016,0.1101,125.2000,28.7430,63.2000,46.7264,classifier,8500,10
0.7823,0.1026,0.8363,0.0948,0.6539,0.1496,0.8247,0.1304,0.6417,0.1775,0.8251,0.1008,0.6319,0.1411,116.6000,26.8745,59.4000,46.1068,classifier,9000,10
0.7720,0.1417,0.8322,0.1126,0.6763,0.1968,0.8017,0.1725,0.6792,0.1453,0.8084,0.1365,0.6594,0.1455,108.4000,26.0200,55.4000,44.6076,classifier,9500,10
0.8041,0.1330,0.8831,0.0655,0.6683,0.1777,0.8018,0.1613,0.7507,0.1497,0.8350,0.1195,0.6967,0.1588,101.4000,24.8081,51.6000,44.4909,classifier,10000,10
