meanAcu,stdAcu,meanPrec0,stdPrec0,meanPrec1,stdPrec1,meanRec0,stdRec0,meanRec1,stdRec1,meanF0,stdF0,meanF1,stdF1,meanSup0,stdSup0,meanSup1,stdSup1,classifier,winLen,overLap
0.6562,0.1628,0.7434,0.1937,0.6764,0.3906,0.8080,0.2196,0.4171,0.2654,0.7229,0.1190,0.5098,0.3085,14.2500,6.1796,13.0000,7.8422,classifier,1000,10
0.6252,0.1685,0.7688,0.2118,0.5000,0.4189,0.7623,0.2296,0.2781,0.2715,0.7050,0.1358,0.3393,0.2966,10.8000,6.7052,9.8000,8.2559,classifier,1500,10
0.7418,0.1536,0.8147,0.1583,0.6818,0.4091,0.8375,0.2043,0.5489,0.3286,0.7883,0.0997,0.6022,0.3556,10.5000,6.4226,10.7500,6.6849,classifier,2000,10
0.4488,0.3680,0.4347,0.3701,0.4605,0.3892,0.4639,0.3845,0.4327,0.3695,0.4389,0.3602,0.4410,0.3686,7.6000,6.0860,7.8000,6.7646,classifier,2500,10
