meanAcu,stdAcu,meanPrec0,stdPrec0,meanPrec1,stdPrec1,meanRec0,stdRec0,meanRec1,stdRec1,meanF0,stdF0,meanF1,stdF1,meanSup0,stdSup0,meanSup1,stdSup1,classifier,winLen,overLap
0.7462,0.1364,0.8089,0.2054,0.6634,0.3340,0.7849,0.1328,0.6105,0.3305,0.7711,0.1296,0.6301,0.3222,15.8000,2.7129,14.4000,13.4551,classifier,1000,10
0.7292,0.1763,0.7735,0.2482,0.6500,0.3742,0.8133,0.1655,0.5697,0.3679,0.7588,0.1572,0.5960,0.3560,13.8000,3.0594,13.4000,13.3056,classifier,1500,10
0.8094,0.1155,0.8248,0.2160,0.6683,0.3512,0.8606,0.0961,0.6459,0.3732,0.8216,0.1222,0.6475,0.3474,12.2000,2.6382,12.0000,12.8530,classifier,2000,10
0.5647,0.1081,0.7012,0.2547,0.4950,0.3429,0.6666,0.1736,0.4350,0.3108,0.6171,0.1152,0.4168,0.2596,11.0000,3.0332,11.4000,13.0629,classifier,2500,10
0.6103,0.1380,0.7611,0.2831,0.4500,0.3921,0.7191,0.1476,0.4153,0.4222,0.6723,0.1445,0.3750,0.3323,10.6000,3.0067,10.6000,13.3656,classifier,3000,10
0.7167,0.1631,0.8167,0.2494,0.6333,0.3712,0.7960,0.2045,0.6186,0.3418,0.7456,0.1591,0.5985,0.3144,8.8000,2.9257,9.6000,12.8156,classifier,3500,10
