meanAcu,stdAcu,meanPrec0,stdPrec0,meanPrec1,stdPrec1,meanRec0,stdRec0,meanRec1,stdRec1,meanF0,stdF0,meanF1,stdF1,meanSup0,stdSup0,meanSup1,stdSup1,classifier,winLen,overLap
0.6700,0.0566,0.6683,0.0519,0.6876,0.0836,0.8195,0.1040,0.4453,0.0718,0.7351,0.0710,0.5307,0.0287,204.8000,36.0688,147.6000,19.0221,classifier,1500,20
0.6690,0.0572,0.6707,0.0604,0.6654,0.0579,0.8139,0.0877,0.4539,0.0680,0.7343,0.0677,0.5343,0.0381,190.6000,35.0291,137.0000,20.7846,classifier,2000,20
0.6562,0.0603,0.6694,0.0680,0.6198,0.0447,0.7885,0.0941,0.4531,0.0678,0.7224,0.0738,0.5191,0.0395,174.6000,33.5833,121.6000,21.9509,classifier,2500,20
0.6571,0.0685,0.6701,0.0744,0.6114,0.0612,0.8005,0.0785,0.4332,0.0724,0.7287,0.0735,0.5047,0.0638,160.6000,32.9460,109.2000,22.0762,classifier,3000,20
0.6589,0.0679,0.6725,0.0794,0.6118,0.0619,0.7951,0.0932,0.4421,0.0549,0.7276,0.0810,0.5099,0.0449,146.0000,32.7719,98.2000,23.2241,classifier,3500,20
0.6620,0.0896,0.6829,0.0953,0.6058,0.0648,0.7815,0.1121,0.4611,0.0485,0.7277,0.0994,0.5201,0.0384,132.4000,29.6554,84.8000,21.9399,classifier,4000,20
0.6766,0.0731,0.7007,0.0915,0.6088,0.0288,0.7933,0.0904,0.4786,0.0809,0.7419,0.0837,0.5311,0.0459,119.2000,27.0215,75.0000,22.1088,classifier,4500,20
0.6596,0.0805,0.6948,0.1026,0.5633,0.0456,0.7746,0.0948,0.4586,0.0794,0.7294,0.0907,0.5002,0.0484,107.8000,26.5737,65.2000,22.0127,classifier,5000,20
0.6775,0.0580,0.6732,0.0513,0.7021,0.1103,0.8267,0.0876,0.4573,0.0652,0.7417,0.0654,0.5459,0.0397,143.6000,23.7116,104.6000,12.7059,classifier,1000,30
0.6664,0.0560,0.6665,0.0599,0.6641,0.0480,0.8249,0.0757,0.4359,0.0474,0.7367,0.0642,0.5233,0.0283,133.8000,23.1983,96.0000,13.7840,classifier,1500,30
0.6552,0.0722,0.6623,0.0764,0.6348,0.0608,0.8067,0.0927,0.4287,0.0535,0.7261,0.0792,0.5081,0.0367,124.2000,22.5690,87.0000,15.5435,classifier,2000,30
0.6432,0.0557,0.6609,0.0714,0.5954,0.0604,0.7887,0.0804,0.4234,0.0553,0.7175,0.0679,0.4904,0.0327,113.8000,22.4980,78.2000,14.9586,classifier,2500,30
0.6508,0.0763,0.6679,0.0847,0.5995,0.0607,0.7939,0.0835,0.4310,0.0531,0.7244,0.0805,0.4994,0.0494,104.8000,22.0127,70.0000,14.0712,classifier,3000,30
0.6568,0.0824,0.6724,0.0811,0.6112,0.0704,0.7868,0.1137,0.4386,0.0463,0.7245,0.0940,0.5070,0.0388,93.8000,20.9609,61.6000,13.6029,classifier,3500,30
0.6647,0.1019,0.6792,0.0993,0.6257,0.0990,0.7871,0.1269,0.4529,0.0476,0.7287,0.1102,0.5218,0.0547,86.0000,19.8192,55.4000,14.6779,classifier,4000,30
0.6607,0.0855,0.6882,0.0966,0.5761,0.0304,0.7743,0.1073,0.4495,0.0420,0.7281,0.0996,0.5028,0.0220,77.8000,19.4155,47.2000,13.7171,classifier,4500,30
0.6589,0.0986,0.6945,0.1137,0.5661,0.0698,0.7747,0.0982,0.4575,0.0681,0.7297,0.1012,0.5021,0.0547,69.8000,17.6227,41.6000,14.7594,classifier,5000,30
0.6724,0.0538,0.6645,0.0513,0.7034,0.0801,0.8400,0.0845,0.4262,0.0596,0.7418,0.0645,0.5231,0.0309,105.0000,18.5257,76.2000,8.5182,classifier,1000,40
0.6653,0.0381,0.6690,0.0498,0.6480,0.0547,0.8142,0.0758,0.4437,0.0776,0.7335,0.0556,0.5221,0.0551,97.2000,17.3020,69.8000,10.5527,classifier,1500,40
0.6593,0.0611,0.6710,0.0727,0.6245,0.0456,0.8030,0.0696,0.4446,0.0582,0.7301,0.0675,0.5168,0.0401,90.6000,17.0247,62.8000,10.9435,classifier,2000,40
0.6519,0.0707,0.6686,0.0780,0.6023,0.0494,0.8065,0.0821,0.4106,0.1139,0.7290,0.0716,0.4816,0.0840,83.8000,16.8452,56.0000,9.8590,classifier,2500,40
0.6621,0.0717,0.6753,0.0809,0.6207,0.0507,0.8157,0.0745,0.4247,0.0426,0.7379,0.0751,0.5024,0.0363,76.6000,16.3291,50.4000,10.4805,classifier,3000,40
0.6520,0.0847,0.6707,0.0948,0.5994,0.0700,0.7664,0.1276,0.4599,0.0472,0.7135,0.1047,0.5153,0.0273,67.8000,17.1860,44.8000,11.3384,classifier,3500,40
0.6913,0.0904,0.7127,0.0975,0.6414,0.0708,0.7858,0.1237,0.5284,0.0781,0.7448,0.1033,0.5744,0.0529,62.2000,14.6068,39.2000,9.8265,classifier,4000,40
0.6845,0.0798,0.7112,0.1038,0.6040,0.0435,0.8087,0.0615,0.4755,0.0821,0.7545,0.0811,0.5284,0.0574,56.8000,14.9987,33.8000,10.9800,classifier,4500,40
0.6554,0.0803,0.6959,0.1043,0.5292,0.0723,0.7704,0.0796,0.4403,0.0965,0.7294,0.0880,0.4766,0.0797,50.2000,12.3191,29.6000,11.8254,classifier,5000,40
