meanAcu,stdAcu,meanPrec0,stdPrec0,meanPrec1,stdPrec1,meanRec0,stdRec0,meanRec1,stdRec1,meanF0,stdF0,meanF1,stdF1,meanSup0,stdSup0,meanSup1,stdSup1,classifier,winLen,overLap
0.6736,0.0587,0.6675,0.0501,0.7069,0.1049,0.8234,0.1045,0.4547,0.0585,0.7365,0.0715,0.5439,0.0168,453.8000,70.1524,335.4000,37.9400,classifier,1000,10
0.6796,0.0575,0.6751,0.0527,0.7028,0.0866,0.8218,0.1011,0.4677,0.0619,0.7404,0.0713,0.5532,0.0193,422.2000,70.7994,308.2000,40.8823,classifier,1500,10
0.6732,0.0506,0.6739,0.0512,0.6735,0.0524,0.8205,0.0925,0.4513,0.0767,0.7388,0.0648,0.5335,0.0419,391.2000,68.3825,279.6000,40.8441,classifier,2000,10
0.6553,0.0663,0.6650,0.0695,0.6288,0.0568,0.7942,0.0970,0.4442,0.0515,0.7228,0.0777,0.5167,0.0307,359.2000,66.4030,251.8000,44.0245,classifier,2500,10
0.6497,0.0723,0.6658,0.0765,0.6057,0.0540,0.7802,0.1003,0.4449,0.0464,0.7174,0.0838,0.5098,0.0309,330.0000,65.9485,225.4000,44.3107,classifier,3000,10
0.6522,0.0712,0.6680,0.0819,0.6103,0.0611,0.7866,0.1071,0.4421,0.0702,0.7203,0.0856,0.5062,0.0413,301.0000,63.7150,204.2000,45.1327,classifier,3500,10
0.6585,0.0828,0.6775,0.0907,0.6062,0.0591,0.7800,0.1116,0.4595,0.0644,0.7234,0.0951,0.5182,0.0452,274.4000,61.7109,180.6000,44.5179,classifier,4000,10
0.6569,0.0944,0.6803,0.1019,0.5949,0.0563,0.7680,0.1216,0.4662,0.0812,0.7197,0.1064,0.5181,0.0583,246.4000,57.9400,157.8000,41.2766,classifier,4500,10
0.6651,0.0965,0.6942,0.1036,0.5845,0.0737,0.7805,0.1071,0.4598,0.0893,0.7328,0.1004,0.5107,0.0750,224.8000,52.9203,136.8000,44.3143,classifier,5000,10
0.6768,0.0514,0.6684,0.0489,0.7065,0.0745,0.8386,0.0843,0.4428,0.0565,0.7435,0.0626,0.5379,0.0267,221.2000,36.2293,162.6000,18.7147,classifier,1000,20
