meanAcu,stdAcu,meanPrec0,stdPrec0,meanPrec1,stdPrec1,meanRec0,stdRec0,meanRec1,stdRec1,meanF0,stdF0,meanF1,stdF1,meanSup0,stdSup0,meanSup1,stdSup1,classifier,winLen,overLap
0.5730,0.1619,0.4233,0.3818,0.6342,0.4177,0.5206,0.4347,0.4679,0.3106,0.4474,0.3691,0.4552,0.2588,14.4000,11.4996,12.0000,6.0663,classifier,1000,10
0.5633,0.1949,0.4443,0.3904,0.6130,0.4041,0.3912,0.3766,0.5769,0.3251,0.3830,0.3233,0.5358,0.3029,12.8000,10.2840,10.8000,5.4185,classifier,1500,10
0.4926,0.1905,0.4375,0.3913,0.5993,0.3985,0.3584,0.3670,0.5474,0.3410,0.3619,0.3182,0.4946,0.2722,11.4000,9.2217,9.8000,4.9558,classifier,2000,10
0.4626,0.1844,0.3829,0.4043,0.5696,0.3970,0.3222,0.3758,0.5139,0.3333,0.3261,0.3390,0.4555,0.2534,10.0000,8.2704,8.4000,4.3174,classifier,2500,10
0.5393,0.2733,0.5333,0.4522,0.6090,0.4033,0.2786,0.3728,0.6566,0.3694,0.2900,0.2973,0.5717,0.3251,8.0000,7.0711,7.6000,3.9294,classifier,3000,10
0.5204,0.3211,0.1273,0.2545,0.6220,0.4050,0.2000,0.4000,0.6413,0.3827,0.1556,0.3111,0.5653,0.3291,6.4000,5.8856,6.4000,3.3226,classifier,3500,10
